"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3187351,152,"The Qualmark rating was too high"
3188594,134,"The Qualmark rating was too high"
3188562,173,"No air-conditioning/heating inadequate"
3187298,132,"No free internet"
3187298,133,"No air-conditioning/heating inadequate"
3187351,154,"Generally poor standard"
3187298,130,"Poor customer service"
3187298,131,"Poor standard of cleanliness/dirty"
3187278,154,"Poor/old facilities"
3187278,156,"Poor standard of cleanliness/dirty"
3187351,153,"Poor customer service"
3188594,133,"Poor/old facilities"
3187298,134,"Noisy"
3188594,136,"No free internet"
3187448,161,"No free internet"
3187448,163,"Noisy"
3187532,133,"No free internet"
3188594,139,"Another reason"
3188594,137,"Generally poor standard"
3188594,138,"Poor value for money"
3187448,162,"Generally poor standard"
3187532,134,"Generally poor standard"
3187532,135,"No air-conditioning/heating inadequate"
3188594,135,"Too expensive"
3187448,158,"Poor/old facilities"
3187448,159,"Poor customer service"
3187448,160,"Poor standard of cleanliness/dirty"
3187532,132,"Poor customer service"
3187682,154,"Poor/old facilities"
3187532,136,"Noisy"
3187682,158,"No free internet"
3187682,159,"Noisy"
3187683,162,"No free internet"
3187682,160,"Another reason"
3187682,155,"Too expensive"
3187682,156,"Poor customer service"
3187682,157,"Poor standard of cleanliness/dirty"
3187683,161,"Poor/old facilities"
3187683,163,"Generally poor standard"
3187278,157,"No free internet"
3187278,159,"No air-conditioning/heating inadequate"
3187337,149,"The Qualmark rating was too high"
3187278,158,"Generally poor standard"
3187278,160,"Poor value for money"
3187278,161,"Noisy"
3187337,153,"No air-conditioning/heating inadequate"
3187683,164,"No air-conditioning/heating inadequate"
3187337,148,"Poor/old facilities"
3187337,150,"Poor customer service"
3187337,151,"Poor standard of cleanliness/dirty"
3187453,137,"Too expensive"
3187453,138,"Poor customer service"
3187453,136,"The Qualmark rating was too high"
3187337,152,"Generally poor standard"
3187337,154,"Poor value for money"
3187683,165,"Poor value for money"
3187478,155,"No free internet"
3187478,156,"No air-conditioning/heating inadequate"
3191185,144,"No air-conditioning/heating inadequate"
3187453,140,"Poor value for money"
3187478,157,"Poor value for money"
3191185,143,"Generally poor standard"
3187453,141,"Another reason"
3187478,152,"The Qualmark rating was too high"
3187478,158,"Another reason"
3191268,144,"The Qualmark rating was too high"
3191185,145,"Poor value for money"
3187453,139,"Poor standard of cleanliness/dirty"
3187478,153,"Poor customer service"
3187478,154,"Poor standard of cleanliness/dirty"
3191185,140,"Poor/old facilities"
3191185,141,"Too expensive"
3191185,142,"Poor customer service"
3191268,146,"No free internet"
3191268,147,"Noisy"
3191319,140,"No air-conditioning/heating inadequate"
3191268,148,"Another reason"
3191319,139,"The Qualmark rating was too high"
3187530,144,"The Qualmark rating was too high"
3191268,145,"Too expensive"
3191319,138,"Poor/old facilities"
3191319,141,"Poor value for money"
3187580,141,"Generally poor standard"
3187530,146,"No free internet"
3188569,154,"No free internet"
3188569,152,"The Qualmark rating was too high"
3187530,145,"Poor standard of cleanliness/dirty"
3187580,138,"Poor/old facilities"
3187580,139,"Too expensive"
3187580,140,"Poor standard of cleanliness/dirty"
3188569,153,"Poor customer service"
3191368,157,"Poor/old facilities"
3191319,142,"Noisy"
3191368,159,"No free internet"
3191368,161,"Noisy"
3188569,155,"No air-conditioning/heating inadequate"
3191368,158,"Poor standard of cleanliness/dirty"
3192153,188,"Too expensive"
3191368,160,"Poor value for money"
3191368,162,"Another reason"
3188769,142,"Another reason"
3188569,156,"Noisy"
3188539,148,"No free internet"
3188539,147,"Poor standard of cleanliness/dirty"
3188539,149,"Poor value for money"
3192153,189,"Generally poor standard"
3191193,149,"Too expensive"
3191193,148,"The Qualmark rating was too high"
3191193,150,"Generally poor standard"
3191193,151,"Poor value for money"
3191193,152,"Noisy"
3191325,171,"No air-conditioning/heating inadequate"
3191325,168,"Too expensive"
3191325,169,"Poor standard of cleanliness/dirty"
3191329,139,"Poor/old facilities"
3191329,140,"Too expensive"
3191329,141,"Poor customer service"
3191325,167,"The Qualmark rating was too high"
3192080,139,"No free internet"
3191329,142,"Poor standard of cleanliness/dirty"
3192080,138,"Poor standard of cleanliness/dirty"
3192558,202,"No free internet"
3192558,201,"Poor standard of cleanliness/dirty"
3191325,170,"Generally poor standard"
3191325,172,"Poor value for money"
3191329,143,"Poor value for money"
3192558,200,"The Qualmark rating was too high"
3193158,128,"No free internet"
3193481,141,"No air-conditioning/heating inadequate"
3193158,127,"Too expensive"
3193481,137,"Poor/old facilities"
3193481,139,"Too expensive"
3193481,140,"Poor customer service"
3193158,126,"The Qualmark rating was too high"
3193481,138,"The Qualmark rating was too high"
3193480,140,"No air-conditioning/heating inadequate"
3193480,142,"Noisy"
3193481,143,"Noisy"
3193158,129,"Generally poor standard"
3193480,141,"Poor value for money"
3193481,142,"Poor value for money"
3193480,139,"The Qualmark rating was too high"
3193480,143,"Another reason"
3193480,138,"Poor/old facilities"
3193530,152,"Poor/old facilities"
3193530,155,"Another reason"
3193544,163,"The Qualmark rating was too high"
3193530,154,"No free internet"
3193544,166,"No free internet"
3193544,167,"No air-conditioning/heating inadequate"
3193564,172,"No free internet"
3193530,153,"Poor standard of cleanliness/dirty"
3193544,164,"Poor customer service"
3193544,165,"Poor standard of cleanliness/dirty"
3193564,168,"Poor/old facilities"
3193564,170,"Too expensive"
3193564,169,"The Qualmark rating was too high"
3193564,171,"Poor customer service"
3193540,140,"Poor/old facilities"
3193628,129,"No air-conditioning/heating inadequate"
3193598,153,"No free internet"
3193598,155,"No air-conditioning/heating inadequate"
3193540,142,"Too expensive"
3193628,128,"Poor customer service"
3193598,149,"Poor/old facilities"
3193540,141,"The Qualmark rating was too high"
3193598,150,"The Qualmark rating was too high"
3193564,173,"Poor value for money"
3193540,143,"Poor value for money"
3193628,130,"Poor value for money"
3193598,154,"Generally poor standard"
3193598,156,"Poor value for money"
3193598,157,"Noisy"
3193634,156,"No free internet"
3193634,159,"Noisy"
3193682,158,"No free internet"
3193598,151,"Too expensive"
3193598,152,"Poor standard of cleanliness/dirty"
3193634,153,"Too expensive"
3193634,154,"Poor customer service"
3193634,155,"Poor standard of cleanliness/dirty"
3193682,157,"Too expensive"
3193634,157,"Generally poor standard"
3193634,158,"Poor value for money"
3193682,159,"Generally poor standard"
3193903,151,"Another reason"
3193903,148,"Poor customer service"
3193912,150,"Poor standard of cleanliness/dirty"
3193903,150,"Poor value for money"
3193682,160,"No air-conditioning/heating inadequate"
3193682,161,"Noisy"
3193903,149,"No free internet"
3193912,151,"No free internet"
3193912,152,"No air-conditioning/heating inadequate"
3193912,154,"Noisy"
3193851,154,"No free internet"
3193912,155,"Another reason"
3193851,152,"The Qualmark rating was too high"
3193851,156,"Another reason"
3193912,153,"Poor value for money"
3193851,155,"Noisy"
3193980,159,"Noisy"
3193980,154,"The Qualmark rating was too high"
3193851,151,"Poor/old facilities"
3193851,153,"Too expensive"
3193980,153,"Poor/old facilities"
3193980,155,"Too expensive"
3193980,156,"Poor standard of cleanliness/dirty"
3193901,147,"Poor/old facilities"
3193980,157,"Generally poor standard"
3193980,158,"Poor value for money"
3193901,149,"No air-conditioning/heating inadequate"
3193998,158,"The Qualmark rating was too high"
3193901,150,"Poor value for money"
3193998,161,"Generally poor standard"
3193901,151,"Noisy"
3193998,162,"No air-conditioning/heating inadequate"
3193998,164,"Another reason"
3193901,148,"Poor customer service"
3193998,157,"Poor/old facilities"
3193998,159,"Poor customer service"
3193998,160,"Poor standard of cleanliness/dirty"
3193952,143,"Poor/old facilities"
3193952,144,"Too expensive"
3193998,163,"Poor value for money"
3193952,147,"No air-conditioning/heating inadequate"
3193952,150,"Another reason"
3194062,142,"The Qualmark rating was too high"
3193952,149,"Noisy"
3193540,144,"Noisy"
3194062,144,"No free internet"
3193952,146,"Generally poor standard"
3193952,148,"Poor value for money"
3193576,143,"Poor value for money"
3193952,145,"Poor customer service"
3194062,141,"Poor/old facilities"
3194062,143,"Too expensive"
3193576,140,"Poor/old facilities"
3193626,167,"No air-conditioning/heating inadequate"
3193576,141,"Poor customer service"
3193576,142,"Poor standard of cleanliness/dirty"
3193626,164,"Poor/old facilities"
3193626,166,"Poor standard of cleanliness/dirty"
3193657,147,"Poor/old facilities"
3193657,148,"Too expensive"
3193626,165,"The Qualmark rating was too high"
3193626,168,"Another reason"
3193657,151,"Noisy"
3194068,159,"No free internet"
3193657,150,"Generally poor standard"
3193657,149,"Poor standard of cleanliness/dirty"
3194068,156,"Too expensive"
3194068,157,"Poor customer service"
3194068,158,"Poor standard of cleanliness/dirty"
3194170,164,"Too expensive"
3194068,155,"The Qualmark rating was too high"
3193794,154,"No free internet"
3193794,156,"No air-conditioning/heating inadequate"
3193794,155,"Generally poor standard"
3193794,157,"Poor value for money"
3193794,158,"Noisy"
3194170,167,"No free internet"
3194170,169,"No air-conditioning/heating inadequate"
3193794,152,"Poor customer service"
3193794,153,"Poor standard of cleanliness/dirty"
3194170,165,"Poor customer service"
3194170,166,"Poor standard of cleanliness/dirty"
3194170,170,"Another reason"
3194273,145,"The Qualmark rating was too high"
3194170,168,"Generally poor standard"
3194273,146,"Generally poor standard"
3194273,147,"Poor value for money"
3194273,148,"Noisy"
3194218,153,"No free internet"
3194273,144,"Poor/old facilities"
3194218,151,"Too expensive"
3194218,152,"Poor customer service"
3194291,148,"Too expensive"
3194291,149,"Poor customer service"
3194291,150,"Poor standard of cleanliness/dirty"
3194218,154,"Poor value for money"
3194291,151,"No free internet"
3194291,152,"No air-conditioning/heating inadequate"
3194218,150,"The Qualmark rating was too high"
3194291,147,"The Qualmark rating was too high"
3194291,153,"Noisy"
3193874,147,"No free internet"
3193978,168,"No free internet"
3193978,169,"No air-conditioning/heating inadequate"
3193874,145,"Poor/old facilities"
3193874,146,"Poor customer service"
3193978,165,"Poor/old facilities"
3193978,166,"Too expensive"
3193978,167,"Poor standard of cleanliness/dirty"
3193874,148,"Another reason"
3193994,157,"Poor/old facilities"
3193994,159,"Poor customer service"
3193994,160,"Poor standard of cleanliness/dirty"
3194075,141,"Poor/old facilities"
3194075,142,"Too expensive"
3194075,143,"Poor customer service"
3193994,161,"Poor value for money"
3193994,158,"The Qualmark rating was too high"
3193978,170,"Noisy"
3194075,144,"No free internet"
3194075,146,"No air-conditioning/heating inadequate"
3194125,130,"Poor/old facilities"
3194125,131,"Too expensive"
3194125,132,"Poor customer service"
3194075,145,"Generally poor standard"
3194075,148,"Another reason"
3194075,147,"Noisy"
3194175,144,"No air-conditioning/heating inadequate"
3194175,143,"Generally poor standard"
3194175,142,"The Qualmark rating was too high"
3194175,145,"Another reason"
3338961,173,"Noisy"
3461445,148,"No free internet"
3338961,169,"Too expensive"
3338961,170,"Poor customer service"
3338961,171,"Poor standard of cleanliness/dirty"
3461445,146,"Poor customer service"
3461445,147,"Poor standard of cleanliness/dirty"
3461445,150,"No air-conditioning/heating inadequate"
3461531,164,"No free internet"
3338961,174,"Another reason"
3461445,152,"Another reason"
3461531,167,"Another reason"
3338961,172,"Generally poor standard"
3461445,149,"Generally poor standard"
3461445,151,"Poor value for money"
3461531,165,"Poor value for money"
3461531,166,"Noisy"
3461624,147,"No free internet"
3461624,148,"Noisy"
3461722,158,"No free internet"
3461531,163,"Poor/old facilities"
3461624,145,"Poor/old facilities"
3461624,146,"Poor customer service"
3461688,136,"Another reason"
3461688,134,"Poor customer service"
3461688,135,"Poor standard of cleanliness/dirty"
3461722,157,"Too expensive"
3461824,151,"Poor/old facilities"
3461824,153,"Poor customer service"
3461824,154,"Poor standard of cleanliness/dirty"
3461824,152,"The Qualmark rating was too high"
3461824,157,"Another reason"
3461722,159,"Generally poor standard"
3461824,155,"Poor value for money"
3461824,156,"Noisy"
3471175,129,"No air-conditioning/heating inadequate"
3471175,127,"The Qualmark rating was too high"
3471175,126,"Poor/old facilities"
3471175,128,"Poor customer service"
3471189,168,"No free internet"
3471325,163,"No free internet"
3471325,164,"Generally poor standard"
3471189,165,"The Qualmark rating was too high"
3471325,161,"The Qualmark rating was too high"
3471325,166,"Another reason"
3471516,154,"The Qualmark rating was too high"
3471189,166,"Poor customer service"
3471189,167,"Poor standard of cleanliness/dirty"
3471325,160,"Poor/old facilities"
3471325,162,"Poor customer service"
3471516,155,"Too expensive"
3471516,156,"Poor customer service"
3471516,162,"Another reason"
3471868,134,"The Qualmark rating was too high"
3471893,147,"The Qualmark rating was too high"
3471516,157,"Poor standard of cleanliness/dirty"
3471809,162,"Poor customer service"
3471868,133,"Poor/old facilities"
3471868,135,"Poor standard of cleanliness/dirty"
3471893,146,"Poor/old facilities"
3471893,148,"Poor customer service"
3471516,160,"Poor value for money"
3471809,163,"Generally poor standard"
3471868,137,"Poor value for money"
3471893,149,"Poor standard of cleanliness/dirty"
3471325,165,"No air-conditioning/heating inadequate"
3471516,158,"No free internet"
3471516,159,"No air-conditioning/heating inadequate"
3471516,161,"Noisy"
3471868,136,"No air-conditioning/heating inadequate"
3471893,150,"No air-conditioning/heating inadequate"
3472316,164,"The Qualmark rating was too high"
3472043,147,"Poor customer service"
3472043,148,"Poor standard of cleanliness/dirty"
3472316,165,"Too expensive"
3472043,150,"Poor value for money"
3471893,151,"Noisy"
3472043,149,"No air-conditioning/heating inadequate"
3472316,166,"No air-conditioning/heating inadequate"
3472316,167,"Noisy"
3472661,167,"No free internet"
3472316,168,"Another reason"
3472661,171,"Another reason"
3472661,166,"Poor/old facilities"
3472661,168,"Generally poor standard"
3472661,169,"Poor value for money"
3472661,170,"Noisy"
3497168,147,"Noisy"
3497263,140,"Poor customer service"
3497263,141,"Poor standard of cleanliness/dirty"
3497263,142,"Poor value for money"
3497263,143,"Noisy"
3497654,143,"No free internet"
3497654,144,"No air-conditioning/heating inadequate"
3497713,153,"No air-conditioning/heating inadequate"
3497654,142,"Too expensive"
3497713,150,"Poor/old facilities"
3497713,151,"Too expensive"
3497713,152,"Poor customer service"
3497654,141,"The Qualmark rating was too high"
3497713,154,"Poor value for money"
3497788,156,"No air-conditioning/heating inadequate"
3497788,157,"Noisy"
3502484,178,"No free internet"
3502484,179,"No air-conditioning/heating inadequate"
3497788,154,"Poor customer service"
3502484,177,"Poor/old facilities"
3497713,155,"Another reason"
3501739,116,"The Qualmark rating was too high"
3497788,155,"Generally poor standard"
3502484,181,"Another reason"
3502484,180,"Noisy"
3523251,177,"No air-conditioning/heating inadequate"
3523251,176,"Poor/old facilities"
3338482,157,"Too expensive"
3338482,158,"Poor customer service"
3338482,159,"Poor standard of cleanliness/dirty"
3338482,156,"The Qualmark rating was too high"
3338482,161,"Noisy"
3338915,143,"No free internet"
3338482,160,"Generally poor standard"
3338915,144,"Generally poor standard"
3338915,145,"Poor value for money"
3338915,141,"The Qualmark rating was too high"
3338915,147,"Another reason"
3338915,140,"Poor/old facilities"
3338915,142,"Too expensive"
3461435,142,"Poor/old facilities"
3338915,146,"Noisy"
3338569,151,"No free internet"
3338569,153,"No air-conditioning/heating inadequate"
3338569,152,"Generally poor standard"
3338569,154,"Poor value for money"
3338569,150,"Poor customer service"
3338569,155,"Noisy"
3338910,156,"No free internet"
3338569,149,"The Qualmark rating was too high"
3338569,156,"Another reason"
3338910,152,"The Qualmark rating was too high"
3338910,160,"Another reason"
3338910,151,"Poor/old facilities"
3338910,153,"Too expensive"
3338910,154,"Poor customer service"
3338910,155,"Poor standard of cleanliness/dirty"
3338910,158,"No air-conditioning/heating inadequate"
3338910,159,"Noisy"
3461503,166,"No free internet"
3338910,157,"Generally poor standard"
3461503,167,"Generally poor standard"
3461503,165,"The Qualmark rating was too high"
3461512,135,"The Qualmark rating was too high"
3461503,168,"Noisy"
3461614,171,"No free internet"
3461614,172,"No air-conditioning/heating inadequate"
3461512,137,"Poor value for money"
3461614,173,"Poor value for money"
3461503,164,"Poor/old facilities"
3461512,134,"Poor/old facilities"
3461512,136,"Too expensive"
3461614,168,"Too expensive"
3461614,169,"Poor customer service"
3461614,167,"The Qualmark rating was too high"
3461614,174,"Another reason"
3461435,145,"Noisy"
3461451,159,"No free internet"
3461435,144,"Poor value for money"
3461451,160,"Generally poor standard"
3461435,146,"Another reason"
3461451,157,"The Qualmark rating was too high"
3461451,161,"Noisy"
3461482,145,"Noisy"
3461482,146,"Another reason"
3461482,144,"Poor value for money"
3461614,170,"Poor standard of cleanliness/dirty"
3461435,143,"Poor standard of cleanliness/dirty"
3461451,158,"Too expensive"
3461482,142,"Poor/old facilities"
3461482,143,"Poor standard of cleanliness/dirty"
3461830,137,"Poor/old facilities"
3461830,140,"No air-conditioning/heating inadequate"
3461830,141,"Noisy"
3461848,159,"No free internet"
3461848,160,"Another reason"
3461830,138,"Too expensive"
3461830,139,"Poor customer service"
3461848,158,"Poor standard of cleanliness/dirty"
3461896,146,"Poor/old facilities"
3461896,147,"Too expensive"
3461896,148,"Poor customer service"
3461619,160,"No free internet"
3461619,161,"No air-conditioning/heating inadequate"
3461896,150,"Generally poor standard"
3461896,151,"Poor value for money"
3461896,149,"Poor standard of cleanliness/dirty"
3461619,157,"Poor/old facilities"
3461619,159,"Poor customer service"
3461896,152,"Another reason"
3461619,158,"The Qualmark rating was too high"
3461619,162,"Noisy"
3461652,149,"No free internet"
3461652,150,"No air-conditioning/heating inadequate"
3461652,147,"Too expensive"
3461652,148,"Poor customer service"
3461716,154,"Poor/old facilities"
3461716,155,"Poor standard of cleanliness/dirty"
3461652,146,"The Qualmark rating was too high"
3461652,151,"Another reason"
3461716,157,"No air-conditioning/heating inadequate"
3461716,158,"Noisy"
3461886,159,"No free internet"
3461716,156,"Generally poor standard"
3461886,160,"Generally poor standard"
3461716,159,"Another reason"
3462791,132,"The Qualmark rating was too high"
3462791,131,"Poor/old facilities"
3461886,158,"Poor/old facilities"
3461886,161,"No air-conditioning/heating inadequate"
3461886,163,"Noisy"
3461902,155,"No free internet"
3461886,162,"Poor value for money"
3461902,156,"Generally poor standard"
3461902,153,"The Qualmark rating was too high"
3461902,154,"Poor customer service"
3463411,209,"No free internet"
3461542,136,"No free internet"
3463411,210,"Generally poor standard"
3461542,138,"Another reason"
3463411,208,"Poor standard of cleanliness/dirty"
3461542,135,"Poor standard of cleanliness/dirty"
3461544,171,"Too expensive"
3461544,172,"Poor customer service"
3461542,137,"Noisy"
3461544,173,"No free internet"
3461544,175,"No air-conditioning/heating inadequate"
3461610,123,"No free internet"
3461544,174,"Generally poor standard"
3461544,176,"Poor value for money"
3463786,144,"Too expensive"
3461610,120,"Poor/old facilities"
3461610,121,"Poor customer service"
3461610,122,"Poor standard of cleanliness/dirty"
3461693,145,"No air-conditioning/heating inadequate"
3461693,144,"Generally poor standard"
3461693,143,"The Qualmark rating was too high"
3461693,146,"Another reason"
3462680,180,"The Qualmark rating was too high"
3463891,154,"No air-conditioning/heating inadequate"
3463065,184,"Generally poor standard"
3463891,155,"Poor value for money"
3462861,171,"Poor customer service"
3463891,153,"The Qualmark rating was too high"
3463891,156,"Noisy"
3464168,168,"Noisy"
3464168,169,"Another reason"
3470988,175,"No air-conditioning/heating inadequate"
3470988,176,"Noisy"
3471097,150,"No free internet"
3471097,152,"No air-conditioning/heating inadequate"
3470988,174,"Generally poor standard"
3471097,151,"Generally poor standard"
3471097,153,"Poor value for money"
3471097,148,"Poor customer service"
3471097,149,"Poor standard of cleanliness/dirty"
3471113,153,"No free internet"
3471113,154,"No air-conditioning/heating inadequate"
3471097,154,"Another reason"
3471113,156,"Another reason"
3471113,151,"Poor/old facilities"
3471113,152,"Poor standard of cleanliness/dirty"
3471113,155,"Noisy"
3470975,150,"No free internet"
3470975,152,"No air-conditioning/heating inadequate"
3470975,148,"The Qualmark rating was too high"
3470975,147,"Poor/old facilities"
3470975,149,"Poor standard of cleanliness/dirty"
3471358,159,"Poor/old facilities"
3470975,154,"Noisy"
3471358,163,"No free internet"
3471358,160,"The Qualmark rating was too high"
3471358,165,"Another reason"
3471472,151,"Another reason"
3470975,151,"Generally poor standard"
3470975,153,"Poor value for money"
3471358,164,"No air-conditioning/heating inadequate"
3471358,161,"Poor customer service"
3471358,162,"Poor standard of cleanliness/dirty"
3471472,148,"Poor/old facilities"
3471472,149,"Poor customer service"
3471492,166,"Poor/old facilities"
3471472,150,"Noisy"
3471492,169,"No air-conditioning/heating inadequate"
3471492,170,"Noisy"
3471227,140,"No free internet"
3471227,137,"The Qualmark rating was too high"
3471492,167,"Too expensive"
3471492,168,"Poor standard of cleanliness/dirty"
3471227,136,"Poor/old facilities"
3471227,138,"Too expensive"
3471227,139,"Poor customer service"
3471227,141,"Generally poor standard"
3471858,168,"Noisy"
3471227,142,"Noisy"
3471858,164,"The Qualmark rating was too high"
3471227,143,"Another reason"
3472049,177,"Another reason"
3471395,221,"The Qualmark rating was too high"
3471858,163,"Poor/old facilities"
3471858,165,"Poor customer service"
3471858,166,"Poor standard of cleanliness/dirty"
3472049,172,"Too expensive"
3472049,173,"Poor standard of cleanliness/dirty"
3471395,222,"Poor standard of cleanliness/dirty"
3471858,167,"Poor value for money"
3472049,174,"Generally poor standard"
3471395,223,"Generally poor standard"
3471610,139,"The Qualmark rating was too high"
3471610,141,"Generally poor standard"
3472403,163,"Generally poor standard"
3471610,140,"Poor customer service"
3472403,161,"Poor/old facilities"
3472049,175,"No air-conditioning/heating inadequate"
3472049,176,"Noisy"
3471610,142,"No air-conditioning/heating inadequate"
3472403,162,"No free internet"
3472403,164,"No air-conditioning/heating inadequate"
3472403,165,"Noisy"
3471334,152,"No free internet"
3471334,153,"No air-conditioning/heating inadequate"
3472517,145,"No free internet"
3472403,166,"Another reason"
3471334,151,"Poor standard of cleanliness/dirty"
3472517,142,"Too expensive"
3472517,143,"Poor customer service"
3472517,144,"Poor standard of cleanliness/dirty"
3471368,150,"Too expensive"
3471368,151,"Poor customer service"
3472517,146,"No air-conditioning/heating inadequate"
3471368,153,"No free internet"
3472517,147,"Poor value for money"
3472517,148,"Another reason"
3471878,184,"The Qualmark rating was too high"
3471619,146,"The Qualmark rating was too high"
3471368,152,"Poor standard of cleanliness/dirty"
3471878,183,"Poor/old facilities"
3471878,185,"Poor standard of cleanliness/dirty"
3471619,147,"Too expensive"
3471619,148,"No free internet"
3471619,150,"No air-conditioning/heating inadequate"
3471619,152,"Noisy"
3471772,147,"No air-conditioning/heating inadequate"
3471772,145,"Too expensive"
3471772,146,"Poor customer service"
3471619,149,"Generally poor standard"
3471619,151,"Poor value for money"
3471772,148,"Poor value for money"
3471878,186,"No free internet"
3471878,189,"Noisy"
3471772,149,"Noisy"
3471787,151,"No free internet"
3471878,187,"Generally poor standard"
3471878,188,"Poor value for money"
3471787,148,"Poor/old facilities"
3471787,149,"Too expensive"
3471787,150,"Poor customer service"
3471931,158,"No air-conditioning/heating inadequate"
3471787,153,"Another reason"
3471931,156,"The Qualmark rating was too high"
3471787,152,"Poor value for money"
3471931,159,"Poor value for money"
3471931,155,"Poor/old facilities"
3471931,157,"Poor customer service"
3471931,160,"Noisy"
3471923,138,"Noisy"
3471923,139,"Another reason"
3471923,137,"Poor value for money"
3471923,136,"Poor standard of cleanliness/dirty"
3497228,159,"No air-conditioning/heating inadequate"
3497228,155,"The Qualmark rating was too high"
3497228,154,"Poor/old facilities"
3497228,156,"Too expensive"
3497228,157,"Poor customer service"
3497228,158,"Poor standard of cleanliness/dirty"
3472449,157,"Poor customer service"
3472449,158,"Poor standard of cleanliness/dirty"
3497228,160,"Noisy"
3472449,159,"No free internet"
3472479,156,"No free internet"
3472449,160,"Another reason"
3472479,154,"The Qualmark rating was too high"
3497519,143,"Generally poor standard"
3497519,141,"Too expensive"
3497519,142,"Poor standard of cleanliness/dirty"
3472479,153,"Poor/old facilities"
3472479,155,"Poor customer service"
3497639,168,"No free internet"
3497621,140,"The Qualmark rating was too high"
3497639,169,"Another reason"
3497621,143,"Generally poor standard"
3497621,144,"Poor value for money"
3497621,139,"Poor/old facilities"
3497621,141,"Too expensive"
3497621,142,"Poor customer service"
3497639,167,"Too expensive"
3497703,138,"No air-conditioning/heating inadequate"
3497703,139,"Noisy"
3497746,148,"No air-conditioning/heating inadequate"
3497746,145,"The Qualmark rating was too high"
3472479,158,"Another reason"
3497703,135,"Too expensive"
3497703,136,"Poor standard of cleanliness/dirty"
3497746,146,"Poor customer service"
3497746,147,"Poor standard of cleanliness/dirty"
3497703,137,"Generally poor standard"
3497746,149,"Poor value for money"
3472479,157,"Poor value for money"
3497231,155,"The Qualmark rating was too high"
3497231,159,"Another reason"
3497231,156,"Too expensive"
3497231,157,"Poor standard of cleanliness/dirty"
3497231,158,"Noisy"
3497247,159,"Noisy"
3497247,158,"Generally poor standard"
3497247,157,"Poor/old facilities"
3497265,158,"Too expensive"
3497265,159,"Poor customer service"
3497247,160,"Another reason"
3497265,157,"The Qualmark rating was too high"
3497265,160,"No free internet"
3497265,161,"No air-conditioning/heating inadequate"
3497281,159,"No free internet"
3497281,156,"Poor/old facilities"
3497281,157,"Poor customer service"
3497281,158,"Poor standard of cleanliness/dirty"
3497549,135,"Poor/old facilities"
3497265,162,"Poor value for money"
3497281,160,"Another reason"
3497549,136,"No free internet"
3497565,140,"Another reason"
3497224,143,"The Qualmark rating was too high"
3497549,137,"Poor value for money"
3497224,145,"Generally poor standard"
3497565,137,"Poor/old facilities"
3497565,138,"Poor customer service"
3497224,144,"Poor customer service"
3497565,139,"Noisy"
3497224,146,"No air-conditioning/heating inadequate"
3497224,148,"Noisy"
3497239,133,"No free internet"
3497239,135,"No air-conditioning/heating inadequate"
3497239,130,"Poor/old facilities"
3497239,131,"Poor customer service"
3497239,132,"Poor standard of cleanliness/dirty"
3497224,147,"Poor value for money"
3497239,134,"Generally poor standard"
3497768,140,"No air-conditioning/heating inadequate"
3497768,142,"Noisy"
3497239,137,"Noisy"
3497768,137,"The Qualmark rating was too high"
3497768,143,"Another reason"
